id,employee_id,emp_code,date,check_in_time,check_out_time,shift_id,expected_start_time,expected_end_time,total_working_minutes,total_working_hours,is_present,is_late,is_early_departure,late_minutes,early_departure_minutes,status,notes,created_at,updated_at,processed_by,leave_id,leave_type,holiday_name
70,4,2581,2024-12-09,2024-12-09 08:10:54.000000,2024-12-09 17:04:02.000000,1.0,08:00:00.000000,17:00:00.000000,533,8.88,1,1,0,10,0,present,,2025-06-23 15:13:16.819629,2025-06-23 15:13:16.819634,,,,
71,4,2581,2024-12-10,2024-12-10 08:13:29.000000,2024-12-10 17:11:05.000000,1.0,08:00:00.000000,17:00:00.000000,537,8.95,1,1,0,13,0,present,,2025-06-23 15:13:16.829027,2025-06-23 15:13:16.829034,,,,
72,4,2581,2024-12-11,2024-12-11 08:03:51.000000,2024-12-11 17:09:01.000000,1.0,08:00:00.000000,17:00:00.000000,545,9.08,1,1,0,3,0,present,,2025-06-23 15:13:16.838629,2025-06-23 15:13:16.838634,,,,
73,4,2581,2024-12-12,2024-12-12 08:18:50.000000,2024-12-12 17:01:22.000000,1.0,08:00:00.000000,17:00:00.000000,522,8.7,1,1,0,18,0,late,,2025-06-23 15:13:16.847009,2025-06-23 15:13:16.847016,,,,
74,4,2581,2024-12-13,2024-12-13 08:24:59.000000,2024-12-13 17:00:19.000000,1.0,08:00:00.000000,17:00:00.000000,515,8.58,1,1,0,24,0,late,,2025-06-23 15:13:16.856447,2025-06-23 15:13:16.856454,,,,
75,4,2581,2024-12-14,,,,,,0,0.0,0,0,0,0,0,absent,,2025-06-23 15:13:16.863477,2025-06-23 15:13:16.863482,,,,
76,4,2581,2024-12-15,,,,,,0,0.0,0,0,0,0,0,absent,,2025-06-23 15:13:16.870628,2025-06-23 15:13:16.870633,,,,
77,4,2581,2024-12-16,2024-12-16 08:39:09.000000,2024-12-16 17:18:23.000000,1.0,08:00:00.000000,17:00:00.000000,519,8.65,1,1,0,39,0,late,,2025-06-23 15:13:16.878382,2025-06-23 15:13:16.878387,,,,
78,4,2581,2024-12-17,2024-12-17 08:43:19.000000,2024-12-17 17:04:52.000000,1.0,08:00:00.000000,17:00:00.000000,501,8.35,1,1,0,43,0,late,,2025-06-23 15:13:16.886280,2025-06-23 15:13:16.886284,,,,
79,4,2581,2024-12-18,2024-12-18 10:08:23.000000,2024-12-18 16:19:43.000000,1.0,08:00:00.000000,17:00:00.000000,371,6.18,1,1,1,128,40,late,,2025-06-23 15:13:16.895009,2025-06-23 15:13:16.895014,,,,
